4616	(20,7,8)
4617	(128,28,128)
4618	(128,40,96)
4619	(128,28,48)
4620	(32,29,32)
4621	(80,35,128?)
4622	(48,29,48)
4623	(96,31,96)
4627	(16,12,16)
4634	(128,80,128)
4635	(8,1,8)
4636	(64,23,64)
4637	(64,25,64)
4638	(48,42,48)
4639	(112,39,128)
4640	(8,1,8)
4641	(8,1,8)
4642	(8,1,8)
4643	(32,18,32)
4644	(112,38,32)
4645	(96,51,96)
4646	(32,30,48)
4647	(48,17,48)
4648	(96,21,96)
4649	(32,34,32)
4650	(80,31,80)
4651	(64,74,64)
4652	(128,68,128)
4653	(128,31,96)
4672	(8,4,12)?
4675	(96,55,96)
4676	(96,55,96)
4677	(96,35,96)
4678	(80,20,80)
4679	(96,74,96)
4680	(64,33,64)
4681	(48,64,48)
4682	(112,50,112)
4683	(128,70,128?)
4684	(128,42,80?)
4685	(80,35,80?)
4686	(112,63,112)
4687	(64,37,80)
4688	(32,15,16?)
4689	(48,19,48)
4690	(96,34,96)
4691	(39,4,27?)
4692	(32,17,32)
4693	(32,45,32)
4694	(32,23,32)
4695	(16,30,16)
4696	(32,38,32)
4697	(32,30,32)
4698	(16,40,16)
4699	(80,46,80)
4700	(25,19,26)
4701	(32,30,32)
4702	(32,20,32)
4703	(112,63,80)
4704	(8,12,8?)
4705	(8,7,8)
4706	(8,7,8)
4707	(?,10,?) (empty)
4708	(96,28,96)
4709	(80,25,64)
4710	(64,26,48)
4711	(96,25,96)
4712	(96,25,96)
4713	(96,37,96)
4714	(96,18,96)
4716	(128,71,128)
4717	(96,85,80)
4718	(112,80,112)
4719	(112,46,112)
4720	(13,15,13)
4721	(32,16,32)?
4722	(128,94,128)
4723	(128,60,128)
4724	(128,48,128)
4725	(128,85,80)
4726	(128,35,96)
4727	(16,7,16)
4728	(128,50,128)
4729	(96,28,96)
4730	(64,14,112)
4731	(48,28,32?)
4732	(96,43,96)
4733	(?,5,?) (empty)
4734	(96,25,96)
4735	(64,24,80)
4736	(16,8,16)
4737	(32,22,32)
4738	(14,3,13)
4739	(16,39,16)
4740	(16,39,16)
4741	(16,39,16)
4742	(16,39,16)
4743	(16,39,16)
4744	(16,39,16)
4745	(16,39,16)
4746	(16,39,16)
4747	(16,39,16)
4748	(16,39,16)
4749	(16,39,16)
4750	(128,33,96)
4751	(32,29,32)
4752	(64,40,64)
4753	(96,51,96)
4754	(48,29,48)
4755	(32,19,32)
4756	(57,7,61)
4757	(64,63,64)
4758	(128,29,128)
4759	(80,53,80)
4760	(64,25,64)
4761	(64,20,80)
4762	(80,19,64)
4763	(48,17,48)
4764	(128,40,112)
4765	(32,26,32)
4766	(80,25,80)
4767	(64,26,48)
4768	(16,16,16)
4769	(48,14,38?)
4773	(48,14,24?)
4774	(16,9,16?)
4775	(32,45,48)
4776	(16,40,16)
4777	(80,33,80)
4778	(80,94,80)
4779	(16,16,16)
4780	(32,20,32)
4781	(64,29,64)
4782	(128,69,128)
4783	(15,14,15?)
4784	(80,70,48?)
4785	(96,25,96)
4786	(48,32,48)
4787	(16,12,16)
4788	(128,83,128)
4789	(32,90,32)
4790	(17,12,15)
4791	(47,64,67)
4792	(112,65,112)
4793	(64,21,32)
4794	(80,13,80)
4795	(128,30,128)
4796	(128,50,32)
4797	(16,9,16)
4798	(16,12,16)
4799	(18,9,?)
4800	(32,22,32)
4801	(16,9,16)
4802	(16,4,16?)
4803	(80,67,64)
4804	(64,75,64)
4805	(64,32,64)? (empty)
4806	(16,5,16?)
4807	(16,3,16)
4808	(16,15,16)
